id,pop,drainage,species,lat,lon
AA004433,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004434,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004435,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004436,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004437,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004438,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004439,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004440,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004441,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004442,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA004459,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004460,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004461,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004462,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.51561,151.121025
AA004463,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004464,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004465,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004466,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004467,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004468,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004469,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004470,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004471,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004472,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004473,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004474,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004475,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA004476,Mybel_Roumala,Gwydir,Myuchelys_bellii,-30.508482,151.119529
AA042479,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA042480,Mybel_McDonald,Namoi,Myuchelys_bellii,-30.940122,151.324825
AA042481,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042482,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042483,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042484,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042485,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042486,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042487,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042488,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042489,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042490,Mybel_Watsons,Namoi,Myuchelys_bellii,-30.685503,151.121153
AA042496,Mybel_Gwydir,Gwydir,Myuchelys_bellii,-30.478209,151.300572
AA042497,Mybel_Gwydir_Harwood,Gwydir,Myuchelys_bellii,-30.467952,151.311062
AA042498,Mybel_Gwydir_Harwood,Gwydir,Myuchelys_bellii,-30.467952,151.311062
AA042499,Mybel_Gwydir_Harwood,Gwydir,Myuchelys_bellii,-30.467952,151.311062
AA042500,Mybel_Gwydir_Harwood,Gwydir,Myuchelys_bellii,-30.467952,151.311062
AA061829,Mybel_Moredun,Gwydir,Myuchelys_bellii,-30.16712,151.07532
AA061831,Mybel_Moredun,Gwydir,Myuchelys_bellii,-30.16712,151.07532
AA18895,Mybel_BaldRock,Border-Nth,Myuchelys_bellii,-28.829497,151.939868
ARC001_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC002,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC002_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC003,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC003_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC004,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC004_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC005,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC005_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC006,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC006_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC007,Mybel_Blood,Captive,Myuchelys_bellii,,
ARC007_Cheek,Mybel_Swab,Captive,Myuchelys_bellii,,
ARC008,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC008_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC009,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC009_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC010,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC010_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC011,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC011_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC012,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC012_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC013_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC014,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC014_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC015,Mypur_Blood,Captive,Myuchelys_purvisi,,
ARC015_Cheek,Mypur_Swab,Captive,Myuchelys_purvisi,,
ARC016,Mypur_Blood,Captive,Myuchelys_purvisi,,
